Age,Churn,Contract Length_Monthly,Contract Length_Quarterly,CustomerID,Gender_Male,Last Interaction,Payment Delay,Subscription Type_Premium,Subscription Type_Standard,Support Calls,Tenure,Total Spend,Usage Frequency,Tenure_Age_Ratio,Spend_per_Usage,Support_Calls_per_Tenure
65,1.0,0,0,226219,0,25,26.0,0,0,1,57,327.82,24.0,0.8636363636363636,13.1128,0.017241379310344827
24,1.0,0,0,226220,0,13,15.0,1,0,7,24,188.31,1.0,0.96,94.155,0.28
40,1.0,0,0,226221,0,13,2.0,0,0,3,2,231.76,19.0,0.04878048780487805,11.588,1.0
50,1.0,0,0,226222,1,13,23.0,0,0,4,26,444.36,22.0,0.5098039215686274,19.32,0.14814814814814814
23,1.0,1,0,226223,1,11,10.0,1,0,3,20,592.6,13.0,0.8333333333333334,42.32857142857143,0.14285714285714285
56,1.0,0,1,226224,0,2,26.0,1,0,7,53,546.41,25.0,0.9298245614035088,21.01576923076923,0.12962962962962962
24,1.0,1,0,226225,1,8,22.0,0,1,8,52,347.37,11.0,2.08,28.9475,0.1509433962264151
60,1.0,0,0,226226,1,19,5.0,1,0,3,1,721.99,12.0,0.01639344262295082,55.53769230769231,1.5
63,1.0,1,0,226227,1,10,13.0,0,1,5,47,391.89,22.0,0.734375,17.038695652173914,0.10416666666666667
61,1.0,0,0,226229,0,20,12.0,0,1,2,54,498.38,25.0,0.8709677419354839,19.16846153846154,0.03636363636363636
59,1.0,0,0,226230,0,20,22.0,1,0,10,20,410.1,27.0,0.3333333333333333,14.646428571428572,0.47619047619047616
51,1.0,0,0,226231,0,23,15.0,1,0,2,40,769.45,1.0,0.7692307692307693,384.725,0.04878048780487805
22,1.0,0,0,226232,1,19,4.0,1,0,5,58,668.83,15.0,2.5217391304347827,41.801875,0.0847457627118644
42,1.0,0,0,226233,0,29,18.0,0,0,9,3,907.62,11.0,0.06976744186046512,75.635,2.25
43,1.0,1,0,226234,1,27,2.0,1,0,9,45,254.75,6.0,1.0227272727272727,36.392857142857146,0.1956521739130435
36,1.0,0,1,226235,0,14,6.0,1,0,3,17,954.27,2.0,0.4594594594594595,318.09,0.16666666666666666
43,1.0,1,0,226236,1,10,0.0,1,0,1,49,548.38,3.0,1.1136363636363635,137.095,0.02
32,1.0,0,0,226237,0,28,25.0,0,1,1,36,534.77,29.0,1.0909090909090908,17.825666666666667,0.02702702702702703
50,1.0,0,0,226238,1,11,8.0,0,0,2,19,935.16,8.0,0.37254901960784315,103.90666666666667,0.1
32,1.0,0,1,226239,0,2,11.0,0,0,6,7,922.19,17.0,0.21212121212121213,51.232777777777784,0.75
26,1.0,0,0,226241,1,2,11.0,0,0,1,44,169.7,12.0,1.6296296296296295,13.053846153846154,0.022222222222222223
46,1.0,0,0,226242,1,26,28.0,0,1,9,9,855.04,8.0,0.19148936170212766,95.00444444444445,0.9
39,1.0,1,0,226243,0,5,0.0,0,0,10,25,540.53,5.0,0.625,90.08833333333332,0.38461538461538464
50,1.0,1,0,226244,0,19,11.0,0,1,7,13,317.29,29.0,0.2549019607843137,10.576333333333334,0.5
60,1.0,1,0,226245,0,5,13.0,1,0,1,28,416.5,12.0,0.45901639344262296,32.03846153846154,0.034482758620689655
65,1.0,0,1,226246,1,25,19.0,1,0,2,56,772.93,3.0,0.8484848484848485,193.2325,0.03508771929824561
62,1.0,0,0,226247,0,4,21.0,0,1,4,60,202.54,11.0,0.9523809523809523,16.878333333333334,0.06557377049180328
55,1.0,1,0,226248,1,15,9.0,0,0,6,52,140.34,8.0,0.9285714285714286,15.593333333333334,0.11320754716981132
50,1.0,0,0,226249,1,3,20.0,0,0,9,22,583.41,14.0,0.43137254901960786,38.894,0.391304347826087
45,1.0,0,1,226250,0,14,5.0,0,0,7,43,356.88,11.0,0.9347826086956522,29.74,0.1590909090909091
45,1.0,1,0,226251,0,6,21.0,1,0,2,22,550.37,18.0,0.4782608695652174,28.966842105263158,0.08695652173913043
41,1.0,0,1,226252,0,18,21.0,0,0,0,7,323.38,7.0,0.16666666666666666,40.4225,0.0
49,1.0,0,1,226253,0,23,2.0,0,0,1,8,857.98,20.0,0.16,40.85619047619048,0.1111111111111111
56,1.0,0,1,226254,0,23,12.0,0,0,8,43,771.71,6.0,0.7543859649122807,110.24428571428572,0.18181818181818182
18,1.0,1,0,226255,1,26,12.0,1,0,10,4,219.02,21.0,0.21052631578947367,9.955454545454545,2.0
63,1.0,1,0,226256,1,2,9.0,0,1,2,52,895.06,17.0,0.8125,49.72555555555555,0.03773584905660377
27,1.0,0,0,226257,1,25,11.0,0,0,9,17,303.14,19.0,0.6071428571428571,15.157,0.5
60,1.0,1,0,226258,1,20,9.0,0,0,6,30,418.12,7.0,0.4918032786885246,52.265,0.1935483870967742
34,1.0,0,1,226259,1,19,25.0,0,0,2,52,437.69,16.0,1.4857142857142858,25.746470588235294,0.03773584905660377
53,1.0,1,0,226260,0,23,4.0,1,0,9,22,135.6,25.0,0.4074074074074074,5.2153846153846155,0.391304347826087
28,1.0,0,1,226261,0,8,29.0,1,0,0,25,189.73,22.0,0.8620689655172413,8.249130434782609,0.0
64,1.0,0,0,226262,1,3,28.0,0,1,7,14,996.35,12.0,0.2153846153846154,76.6423076923077,0.4666666666666667
31,1.0,0,0,226263,0,13,26.0,0,1,6,19,505.98,24.0,0.59375,20.2392,0.3
56,1.0,0,1,226264,1,25,3.0,1,0,0,16,176.16,19.0,0.2807017543859649,8.808,0.0
32,1.0,0,0,226265,0,26,24.0,1,0,1,58,667.16,20.0,1.7575757575757576,31.769523809523808,0.01694915254237288
50,1.0,0,1,226266,1,16,28.0,0,0,10,51,309.14,1.0,1.0,154.57,0.19230769230769232
41,1.0,1,0,226267,1,15,9.0,0,0,1,43,301.25,1.0,1.0238095238095237,150.625,0.022727272727272728
54,1.0,1,0,226268,1,23,11.0,0,0,2,60,157.8,14.0,1.0909090909090908,10.520000000000001,0.03278688524590164
42,1.0,1,0,226269,1,24,5.0,0,1,3,6,354.19,29.0,0.13953488372093023,11.806333333333333,0.42857142857142855
29,1.0,0,0,226270,1,16,10.0,1,0,6,33,618.29,29.0,1.1,20.609666666666666,0.17647058823529413
36,1.0,1,0,226271,0,15,23.0,0,0,2,29,880.95,3.0,0.7837837837837838,220.2375,0.06666666666666667
22,1.0,1,0,226272,0,4,19.0,1,0,7,27,539.59,8.0,1.173913043478261,59.95444444444445,0.25
55,1.0,0,0,226273,0,23,14.0,0,1,0,7,918.47,18.0,0.125,48.340526315789475,0.0
40,1.0,0,1,226274,0,11,11.0,0,0,7,9,893.69,22.0,0.21951219512195122,38.85608695652174,0.7
60,1.0,0,1,226275,0,28,18.0,1,0,7,47,718.93,26.0,0.7704918032786885,26.627037037037034,0.14583333333333334
26,1.0,1,0,226276,1,21,15.0,0,1,6,43,831.17,16.0,1.5925925925925926,48.89235294117647,0.13636363636363635
65,1.0,1,0,226277,1,7,12.0,0,0,5,11,402.74,5.0,0.16666666666666666,67.12333333333333,0.4166666666666667
20,1.0,0,1,226278,0,9,27.0,0,1,3,29,293.76,18.0,1.380952380952381,15.461052631578946,0.1
62,1.0,0,0,226279,0,21,1.0,0,1,2,37,371.58,30.0,0.5873015873015873,11.986451612903226,0.05263157894736842
58,1.0,0,1,226281,0,13,9.0,1,0,0,4,687.62,26.0,0.06779661016949153,25.467407407407407,0.0
48,1.0,0,1,226282,1,13,8.0,1,0,2,58,464.43,10.0,1.183673469387755,42.22090909090909,0.03389830508474576
29,1.0,1,0,226283,0,28,23.0,1,0,5,1,237.95,12.0,0.03333333333333333,18.303846153846152,2.5
51,1.0,0,0,226284,1,30,30.0,0,1,9,30,217.74,24.0,0.5769230769230769,8.7096,0.2903225806451613
24,1.0,0,1,226285,1,1,18.0,0,0,7,29,292.62,23.0,1.16,12.1925,0.23333333333333334
61,1.0,1,0,226286,1,22,16.0,0,1,8,6,652.41,9.0,0.0967741935483871,65.241,1.1428571428571428
21,1.0,1,0,226287,0,20,4.0,1,0,5,10,497.72,14.0,0.45454545454545453,33.181333333333335,0.45454545454545453
46,1.0,0,0,226288,1,28,12.0,0,1,9,3,523.07,23.0,0.06382978723404255,21.794583333333335,2.25
46,1.0,0,1,226289,1,28,24.0,0,1,8,17,591.18,21.0,0.3617021276595745,26.87181818181818,0.4444444444444444
32,1.0,0,1,226290,0,16,19.0,0,0,0,10,136.03,7.0,0.30303030303030304,17.00375,0.0
62,1.0,0,0,226291,1,2,2.0,0,0,8,16,998.42,16.0,0.25396825396825395,58.730588235294114,0.47058823529411764
64,1.0,0,0,226292,0,12,12.0,0,1,4,14,770.33,30.0,0.2153846153846154,24.84935483870968,0.26666666666666666
61,1.0,0,1,226293,0,21,13.0,1,0,1,29,785.61,17.0,0.46774193548387094,43.645,0.03333333333333333
24,1.0,0,0,226294,0,28,0.0,0,0,5,48,205.73,19.0,1.92,10.2865,0.10204081632653061
50,1.0,1,0,226295,0,6,28.0,0,0,9,7,159.84,5.0,0.13725490196078433,26.64,1.125
41,1.0,0,1,226296,1,23,6.0,1,0,8,50,593.17,1.0,1.1904761904761905,296.585,0.1568627450980392
30,1.0,0,1,226297,1,17,25.0,1,0,3,49,502.64,3.0,1.5806451612903225,125.66,0.06
36,1.0,1,0,226298,0,24,20.0,0,0,1,31,187.14,5.0,0.8378378378378378,31.189999999999998,0.03125
28,1.0,0,1,226299,1,18,28.0,0,0,0,50,954.0,3.0,1.7241379310344827,238.5,0.0
41,1.0,0,0,226300,0,9,22.0,0,0,0,27,897.6,2.0,0.6428571428571429,299.2,0.0
42,1.0,0,0,226301,1,1,6.0,0,0,9,3,381.49,4.0,0.06976744186046512,76.298,2.25
44,1.0,0,0,226302,0,25,26.0,0,0,0,40,772.75,27.0,0.8888888888888888,27.598214285714285,0.0
59,1.0,0,0,226303,0,2,9.0,0,0,5,60,569.18,9.0,1.0,56.91799999999999,0.08196721311475409
30,1.0,1,0,226304,1,22,21.0,1,0,1,49,908.97,14.0,1.5806451612903225,60.598,0.02
26,1.0,1,0,226305,1,29,4.0,0,1,3,27,759.7,18.0,1.0,39.98421052631579,0.10714285714285714
40,1.0,0,1,226306,0,27,22.0,1,0,4,20,707.39,1.0,0.4878048780487805,353.695,0.19047619047619047
54,1.0,1,0,226307,0,2,29.0,0,1,0,25,929.66,24.0,0.45454545454545453,37.1864,0.0
54,1.0,0,1,226308,0,14,11.0,1,0,1,56,365.05,24.0,1.018181818181818,14.602,0.017543859649122806
42,1.0,0,1,226309,0,23,19.0,0,1,2,17,892.31,15.0,0.3953488372093023,55.769375,0.1111111111111111
27,1.0,0,1,226310,0,19,25.0,0,0,0,22,404.78,5.0,0.7857142857142857,67.46333333333332,0.0
24,1.0,1,0,226311,1,16,3.0,0,1,3,55,946.15,16.0,2.2,55.65588235294118,0.05357142857142857
38,1.0,0,1,226312,0,20,15.0,1,0,2,33,793.2,7.0,0.8461538461538461,99.15,0.058823529411764705
60,1.0,0,1,226313,0,2,11.0,0,0,3,31,276.42,13.0,0.5081967213114754,19.744285714285716,0.09375
52,1.0,0,1,226314,0,5,18.0,1,0,3,28,459.55,12.0,0.5283018867924528,35.35,0.10344827586206896
34,1.0,0,1,226315,1,3,27.0,1,0,5,1,650.94,29.0,0.02857142857142857,21.698,2.5
43,1.0,1,0,226316,1,21,30.0,1,0,1,49,690.62,14.0,1.1136363636363635,46.041333333333334,0.02
22,1.0,0,0,226317,0,10,21.0,0,1,1,59,820.6,22.0,2.5652173913043477,35.67826086956522,0.016666666666666666
26,1.0,1,0,226318,1,12,10.0,0,0,10,5,146.6,25.0,0.18518518518518517,5.638461538461538,1.6666666666666667
48,1.0,1,0,226319,1,20,30.0,1,0,1,46,182.46,2.0,0.9387755102040817,60.82,0.02127659574468085
61,1.0,0,0,226320,0,25,19.0,1,0,1,7,711.21,2.0,0.11290322580645161,237.07000000000002,0.125
64,1.0,1,0,226321,0,1,8.0,0,1,3,27,772.48,24.0,0.4153846153846154,30.8992,0.10714285714285714
39,1.0,0,0,226322,0,23,13.0,0,1,4,41,262.99,3.0,1.025,65.7475,0.09523809523809523
56,1.0,1,0,226323,1,10,3.0,0,1,0,60,406.84,13.0,1.0526315789473684,29.06,0.0
23,1.0,0,0,226324,1,6,28.0,0,1,7,58,992.22,15.0,2.4166666666666665,62.01375,0.11864406779661017
19,1.0,0,1,226325,0,13,20.0,0,1,5,23,523.23,17.0,1.15,29.068333333333335,0.20833333333333334
22,1.0,1,0,226326,1,18,30.0,0,1,9,26,181.6,29.0,1.1304347826086956,6.053333333333333,0.3333333333333333
49,1.0,1,0,226327,0,14,29.0,0,0,8,45,257.06,13.0,0.9,18.361428571428572,0.17391304347826086
27,1.0,1,0,226328,0,5,30.0,0,1,1,52,886.8,28.0,1.8571428571428572,30.579310344827583,0.018867924528301886
22,1.0,0,1,226329,0,18,8.0,0,1,8,41,826.83,8.0,1.7826086956521738,91.87,0.19047619047619047
63,1.0,0,1,226330,0,4,19.0,0,0,9,18,247.39,7.0,0.28125,30.92375,0.47368421052631576
32,1.0,0,1,226331,1,26,5.0,1,0,5,8,176.63,5.0,0.24242424242424243,29.438333333333333,0.5555555555555556
32,1.0,0,0,226332,0,29,8.0,0,1,10,30,639.45,20.0,0.9090909090909091,30.450000000000003,0.3225806451612903
29,1.0,1,0,226333,1,21,22.0,0,0,0,18,757.18,14.0,0.6,50.47866666666666,0.0
37,1.0,0,0,226334,1,13,2.0,1,0,1,33,188.24,30.0,0.868421052631579,6.072258064516129,0.029411764705882353
43,1.0,1,0,226335,0,10,8.0,0,0,4,42,865.12,14.0,0.9545454545454546,57.67466666666667,0.09302325581395349
28,1.0,0,1,226336,0,3,25.0,1,0,6,41,195.06,4.0,1.4137931034482758,39.012,0.14285714285714285
37,1.0,0,0,226337,1,20,11.0,0,1,4,52,786.86,30.0,1.368421052631579,25.38258064516129,0.07547169811320754
37,1.0,1,0,226338,1,20,3.0,0,0,1,8,770.87,5.0,0.21052631578947367,128.47833333333332,0.1111111111111111
28,1.0,0,0,226339,1,25,25.0,1,0,0,38,299.05,28.0,1.3103448275862069,10.312068965517241,0.0
43,1.0,1,0,226340,1,27,7.0,1,0,9,60,263.51,29.0,1.3636363636363635,8.783666666666667,0.14754098360655737
24,1.0,0,1,226341,1,30,16.0,0,0,5,16,959.71,24.0,0.64,38.388400000000004,0.29411764705882354
59,1.0,1,0,226342,1,27,13.0,0,0,0,26,579.19,28.0,0.43333333333333335,19.972068965517245,0.0
49,1.0,1,0,226343,0,21,27.0,0,0,6,2,544.59,25.0,0.04,20.945769230769233,2.0
60,1.0,0,0,226344,0,9,28.0,1,0,10,59,731.94,30.0,0.9672131147540983,23.610967741935486,0.16666666666666666
62,1.0,0,1,226345,1,10,3.0,0,0,10,26,916.97,2.0,0.4126984126984127,305.6566666666667,0.37037037037037035
21,1.0,0,0,226346,1,14,10.0,1,0,3,40,558.0,6.0,1.8181818181818181,79.71428571428571,0.07317073170731707
58,1.0,1,0,226347,1,11,14.0,0,1,8,19,575.68,1.0,0.3220338983050847,287.84,0.4
63,1.0,1,0,226348,0,10,7.0,1,0,10,50,432.77,3.0,0.78125,108.1925,0.19607843137254902
62,1.0,1,0,226349,1,16,1.0,1,0,6,55,119.46,11.0,0.873015873015873,9.955,0.10714285714285714
23,1.0,1,0,226350,0,29,15.0,0,1,5,55,798.24,17.0,2.2916666666666665,44.346666666666664,0.08928571428571429
64,1.0,0,1,226351,0,17,19.0,0,0,4,55,124.07,22.0,0.8461538461538461,5.394347826086956,0.07142857142857142
31,1.0,0,0,226352,1,29,29.0,0,1,2,46,318.02,4.0,1.4375,63.604,0.0425531914893617
57,1.0,0,1,226353,1,14,0.0,0,0,9,11,923.75,20.0,0.1896551724137931,43.98809523809524,0.75
34,1.0,0,0,226354,0,1,29.0,0,0,7,7,203.99,13.0,0.2,14.570714285714287,0.875
18,1.0,1,0,226355,1,25,25.0,0,1,7,34,936.14,10.0,1.7894736842105263,85.10363636363637,0.2
42,1.0,0,1,226356,0,5,6.0,0,1,6,8,342.57,11.0,0.18604651162790697,28.5475,0.6666666666666666
51,1.0,1,0,226358,1,10,8.0,1,0,5,24,861.92,7.0,0.46153846153846156,107.74,0.2
20,1.0,1,0,226359,1,26,26.0,0,1,2,60,250.72,14.0,2.857142857142857,16.714666666666666,0.03278688524590164
23,1.0,1,0,226360,1,20,19.0,0,0,1,23,774.45,26.0,0.9583333333333334,28.683333333333334,0.041666666666666664
53,1.0,0,1,226362,0,22,10.0,1,0,5,10,911.83,25.0,0.18518518518518517,35.07038461538462,0.45454545454545453
48,1.0,1,0,226363,0,13,12.0,1,0,10,59,120.86,6.0,1.2040816326530612,17.265714285714285,0.16666666666666666
57,1.0,0,1,226364,0,7,25.0,0,1,9,46,324.16,22.0,0.7931034482758621,14.093913043478262,0.19148936170212766
23,1.0,0,0,226365,0,4,10.0,0,0,6,50,417.85,12.0,2.0833333333333335,32.142307692307696,0.11764705882352941
63,1.0,0,1,226366,1,22,10.0,0,0,2,34,482.1,26.0,0.53125,17.855555555555558,0.05714285714285714
36,1.0,1,0,226367,1,17,23.0,0,0,2,21,868.44,24.0,0.5675675675675675,34.7376,0.09090909090909091
65,1.0,1,0,226368,0,12,15.0,0,1,5,22,972.6,5.0,0.3333333333333333,162.1,0.21739130434782608
38,1.0,0,0,226369,0,20,29.0,0,1,2,15,220.45,27.0,0.38461538461538464,7.873214285714285,0.125
64,1.0,0,1,226370,0,8,6.0,0,1,3,36,604.02,2.0,0.5538461538461539,201.34,0.08108108108108109
42,1.0,0,0,226371,0,16,19.0,0,1,9,10,339.04,4.0,0.23255813953488372,67.808,0.8181818181818182
