CustomerID,Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Gender_Male,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Monthly,Contract Length_Quarterly
52,35,37,11.0,7,13.0,631.0,7,1.0,1,0,1,1,0
53,21,56,11.0,9,9.0,626.0,1,1.0,0,0,0,0,1
54,56,44,11.0,2,11.0,583.0,9,1.0,0,0,1,0,0
55,53,18,21.0,1,23.0,717.0,15,1.0,0,0,0,0,1
56,41,18,27.0,10,3.0,111.0,19,1.0,0,0,0,1,0
57,33,6,12.0,7,29.0,869.0,10,1.0,1,0,1,0,1
58,18,55,29.0,9,21.0,296.0,22,1.0,1,0,1,0,1
59,26,60,9.0,10,1.0,643.0,2,1.0,1,0,1,1,0
60,42,7,9.0,1,11.0,196.0,18,1.0,0,0,0,0,0
61,36,2,15.0,3,29.0,501.0,4,1.0,1,1,0,1,0
62,22,43,16.0,8,21.0,966.0,30,1.0,0,0,1,1,0
63,47,59,24.0,6,26.0,288.0,26,1.0,1,1,0,0,0
64,30,52,23.0,1,27.0,400.0,20,1.0,1,0,0,0,0
66,21,51,1.0,8,6.0,618.0,13,1.0,0,1,0,0,0
67,27,40,17.0,3,1.0,999.0,17,1.0,0,0,0,0,0
68,27,34,13.0,4,26.0,214.0,6,1.0,1,0,0,0,1
69,32,3,5.0,1,6.0,282.0,20,1.0,1,0,1,0,0
70,44,43,1.0,8,28.0,548.0,28,1.0,0,0,1,1,0
71,38,10,9.0,6,5.0,820.0,18,1.0,1,1,0,0,0
72,34,5,18.0,3,29.0,575.0,10,1.0,0,1,0,0,1
73,42,29,23.0,0,6.0,736.0,5,1.0,1,1,0,1,0
74,61,41,4.0,7,23.0,753.0,23,1.0,1,0,0,0,1
75,22,45,13.0,5,16.0,538.0,26,1.0,1,0,0,0,1
76,59,53,13.0,0,4.0,688.0,14,1.0,0,0,1,0,1
77,53,54,18.0,10,0.0,679.0,1,1.0,1,0,0,1,0
78,37,17,23.0,9,23.0,530.0,19,1.0,1,1,0,0,1
79,65,33,28.0,9,22.0,383.0,17,1.0,0,1,0,1,0
80,61,6,7.0,4,26.0,369.0,20,1.0,0,0,1,0,0
81,40,58,8.0,2,10.0,760.0,28,1.0,0,0,0,1,0
82,63,38,19.0,7,21.0,768.0,7,1.0,0,0,1,0,1
83,19,53,3.0,6,17.0,808.0,19,1.0,1,0,1,1,0
84,45,25,4.0,8,13.0,681.0,26,1.0,0,1,0,0,1
85,59,17,21.0,1,24.0,858.0,2,1.0,1,0,1,0,1
86,55,54,2.0,5,0.0,159.0,29,1.0,0,0,1,1,0
87,44,13,12.0,7,7.0,624.0,15,1.0,1,0,1,1,0
88,61,7,12.0,7,2.0,925.0,9,1.0,1,1,0,0,0
89,46,41,12.0,3,25.0,531.0,11,1.0,1,1,0,0,0
90,22,45,17.0,3,28.0,769.0,3,1.0,1,0,0,0,1
92,46,47,4.0,5,10.0,299.0,5,1.0,0,0,1,0,0
93,64,31,20.0,9,24.0,785.0,16,1.0,1,1,0,0,1
94,28,22,16.0,1,7.0,389.0,16,1.0,0,0,1,1,0
95,35,19,28.0,4,28.0,507.0,5,1.0,0,0,0,0,1
96,55,34,6.0,2,7.0,392.0,5,1.0,0,0,0,0,0
97,35,3,17.0,6,23.0,392.0,7,1.0,1,0,0,0,0
98,45,23,4.0,5,1.0,699.0,12,1.0,0,1,0,0,1
99,24,1,20.0,0,17.0,268.0,4,1.0,1,0,0,0,1
100,44,8,11.0,7,26.0,139.0,3,1.0,0,1,0,1,0
102,60,55,7.0,3,18.0,871.0,4,1.0,1,0,1,1,0
103,40,46,24.0,3,1.0,404.0,28,1.0,0,0,0,1,0
104,26,15,11.0,0,20.0,269.0,1,1.0,1,0,0,0,0
105,58,28,17.0,0,24.0,820.0,29,1.0,0,1,0,0,1
106,56,16,11.0,5,18.0,590.0,27,1.0,0,1,0,1,0
107,42,12,6.0,8,25.0,566.0,11,1.0,0,0,0,1,0
108,52,29,2.0,2,4.0,435.0,27,1.0,1,0,0,0,0
109,32,13,6.0,4,11.0,649.0,8,1.0,1,0,0,0,0
110,38,3,11.0,5,16.0,212.0,4,1.0,0,0,1,0,1
111,60,50,10.0,2,4.0,552.0,8,1.0,1,0,1,0,1
112,48,4,7.0,9,29.0,421.0,4,1.0,1,0,1,0,1
113,52,1,29.0,2,19.0,202.0,22,1.0,0,0,0,0,0
114,55,59,15.0,3,3.0,236.0,22,1.0,1,0,1,0,0
115,59,37,11.0,0,11.0,545.0,10,1.0,0,0,1,0,1
116,26,37,30.0,4,13.0,414.0,1,1.0,1,0,1,1,0
117,53,14,2.0,2,5.0,336.0,18,1.0,0,1,0,1,0
118,60,35,26.0,10,16.0,882.0,29,1.0,0,0,0,1,0
119,28,33,14.0,7,29.0,856.0,6,1.0,1,0,0,1,0
120,60,52,6.0,2,6.0,382.0,7,1.0,0,0,1,0,1
121,30,8,6.0,10,14.0,365.0,9,1.0,0,0,1,1,0
122,27,48,1.0,4,27.0,330.0,8,1.0,1,1,0,0,0
123,21,34,10.0,7,17.0,867.0,29,1.0,1,1,0,1,0
124,25,43,19.0,7,10.0,832.0,27,1.0,0,0,0,0,0
125,32,18,14.0,5,15.0,552.0,27,1.0,0,0,0,0,0
126,46,8,30.0,0,9.0,672.0,10,1.0,0,0,1,1,0
127,44,22,7.0,7,4.0,866.0,13,1.0,0,0,0,0,0
128,27,49,19.0,1,1.0,604.0,21,1.0,0,0,1,0,1
129,60,53,23.0,1,10.0,917.0,12,1.0,0,0,1,0,1
130,57,58,20.0,0,6.0,801.0,2,1.0,1,0,1,1,0
131,42,37,12.0,8,21.0,985.0,23,1.0,0,1,0,0,0
132,31,40,7.0,5,0.0,295.0,7,1.0,0,1,0,0,0
133,38,55,25.0,10,16.0,153.0,12,1.0,0,0,1,0,1
134,27,28,27.0,8,28.0,326.0,12,1.0,1,0,1,0,0
135,18,46,30.0,0,5.0,269.0,10,1.0,0,0,0,0,1
136,40,31,30.0,9,18.0,537.0,27,1.0,0,0,0,0,0
137,58,32,6.0,4,5.0,684.0,28,1.0,1,1,0,0,0
138,24,44,11.0,10,0.0,341.0,10,1.0,1,0,0,0,1
139,60,11,14.0,8,27.0,344.0,15,1.0,1,0,1,1,0
140,39,8,19.0,10,1.0,890.0,20,1.0,0,0,1,0,1
141,51,2,6.0,1,23.0,959.0,23,1.0,1,0,1,0,1
142,49,18,18.0,8,20.0,517.0,1,1.0,1,0,0,0,1
143,52,25,26.0,9,17.0,658.0,1,1.0,1,0,1,0,1
144,36,5,6.0,0,6.0,787.0,9,0.0,0,1,0,0,1
145,40,46,3.0,6,28.0,833.0,26,1.0,0,0,1,0,1
146,21,42,24.0,5,28.0,877.0,12,1.0,0,0,0,0,0
147,56,7,22.0,7,15.0,584.0,3,1.0,0,0,0,1,0
148,63,35,13.0,5,9.0,947.0,10,1.0,1,1,0,0,0
149,53,51,4.0,9,1.0,325.0,18,1.0,0,0,0,0,1
150,30,55,26.0,5,9.0,376.0,18,1.0,1,0,1,1,0
151,54,54,4.0,4,15.0,855.0,27,1.0,0,0,1,1,0
152,55,10,15.0,6,22.0,860.0,26,1.0,0,0,1,0,1
153,28,54,26.0,2,12.0,288.0,16,1.0,1,0,0,0,0
154,56,22,19.0,2,26.0,398.0,26,1.0,0,0,0,1,0
155,48,49,20.0,1,7.0,953.0,30,0.0,1,0,1,0,1
156,40,17,2.0,1,4.0,761.0,30,1.0,0,0,0,0,1
157,63,15,16.0,4,17.0,770.0,3,1.0,0,0,1,0,1
158,59,16,2.0,6,5.0,183.0,27,1.0,0,0,1,1,0
159,56,14,21.0,3,25.0,374.0,18,1.0,1,0,0,0,1
160,29,42,13.0,2,1.0,285.0,21,1.0,0,0,1,1,0
161,22,23,29.0,10,17.0,294.0,28,1.0,1,0,0,0,0
162,24,14,22.0,2,17.0,594.0,18,0.0,1,0,0,0,1
163,55,33,27.0,5,6.0,505.0,19,1.0,1,0,1,0,1
164,32,59,9.0,6,23.0,616.0,1,1.0,0,0,1,0,1
165,61,49,27.0,0,2.0,937.0,25,1.0,1,0,0,1,0
166,63,58,26.0,7,9.0,109.0,3,1.0,1,1,0,0,1
167,56,18,23.0,2,15.0,411.0,17,1.0,0,0,0,1,0
168,63,13,17.0,10,6.0,890.0,8,1.0,1,0,1,1,0
169,51,49,9.0,6,16.0,338.0,18,1.0,1,1,0,0,0
170,64,26,24.0,10,8.0,609.0,3,1.0,1,1,0,0,1
171,54,27,9.0,4,4.0,226.0,8,1.0,0,1,0,1,0
172,43,49,22.0,8,29.0,261.0,11,1.0,1,0,0,0,1
173,24,31,24.0,9,25.0,900.0,1,1.0,1,1,0,0,0
174,44,40,8.0,10,4.0,503.0,25,1.0,1,0,0,0,0
175,22,39,3.0,4,16.0,443.0,4,1.0,1,0,1,0,0
176,50,9,30.0,2,8.0,537.0,25,1.0,0,1,0,0,1
177,43,59,8.0,9,27.0,535.0,22,1.0,1,1,0,1,0
178,46,55,7.0,3,7.0,971.0,21,1.0,1,0,1,1,0
179,40,51,30.0,8,19.0,351.0,12,1.0,0,1,0,0,1
180,34,19,17.0,1,5.0,201.0,1,1.0,0,1,0,0,1
181,64,17,7.0,10,3.0,966.0,15,1.0,1,0,0,1,0
182,23,49,23.0,1,20.0,875.0,29,1.0,1,0,1,1,0
183,18,3,2.0,4,25.0,228.0,5,1.0,1,0,1,0,0
184,47,14,21.0,8,15.0,165.0,15,1.0,0,1,0,1,0
185,48,3,30.0,1,10.0,850.0,29,0.0,1,1,0,0,0
186,18,27,23.0,1,11.0,729.0,19,1.0,0,1,0,0,0
187,55,12,13.0,1,7.0,167.0,11,1.0,0,0,1,0,0
188,56,39,20.0,1,29.0,693.0,9,1.0,1,0,0,0,1
189,21,11,14.0,8,19.0,854.0,6,1.0,0,0,1,0,0
190,47,2,4.0,8,11.0,426.0,1,1.0,1,0,1,0,1
191,40,16,19.0,7,17.0,868.0,10,1.0,0,0,0,0,1
192,48,2,30.0,1,19.0,408.0,8,1.0,0,1,0,1,0
193,37,41,19.0,10,7.0,152.0,15,1.0,1,1,0,1,0
194,63,48,10.0,3,9.0,448.0,18,1.0,1,0,0,1,0
195,51,37,4.0,5,24.0,326.0,4,1.0,0,1,0,1,0
196,32,35,9.0,1,15.0,951.0,4,0.0,0,1,0,0,1
197,51,5,17.0,9,14.0,195.0,16,1.0,0,0,1,1,0
198,54,38,7.0,7,14.0,715.0,8,1.0,1,0,0,0,1
199,18,55,30.0,0,2.0,101.0,28,1.0,0,0,0,0,1
200,46,38,16.0,8,17.0,495.0,24,1.0,1,0,0,0,1
201,39,7,21.0,4,27.0,536.0,11,1.0,0,0,0,1,0
202,59,24,24.0,2,3.0,516.0,25,1.0,0,0,0,0,0
203,42,12,19.0,6,7.0,969.0,21,1.0,0,1,0,0,1
204,56,15,18.0,3,11.0,471.0,12,1.0,1,1,0,0,0
205,50,38,7.0,4,11.0,902.0,12,1.0,1,1,0,1,0
206,62,6,27.0,8,3.0,499.0,28,1.0,1,0,1,0,0
207,49,44,6.0,8,26.0,378.0,4,1.0,1,0,0,0,1
208,57,46,19.0,3,5.0,553.0,30,1.0,0,1,0,1,0
209,63,39,20.0,3,8.0,165.0,27,1.0,1,1,0,0,0
210,42,58,1.0,3,10.0,733.0,2,0.0,0,0,1,0,1
211,32,2,10.0,3,16.0,103.0,3,1.0,0,0,0,0,1
212,42,45,28.0,4,30.0,335.0,6,1.0,1,1,0,1,0
213,52,56,14.0,10,29.0,719.0,4,1.0,0,0,1,0,1
214,37,45,9.0,7,29.0,460.0,11,1.0,1,0,1,0,1
215,37,55,10.0,9,15.0,272.0,16,1.0,0,0,0,0,1
216,51,9,16.0,6,19.0,995.0,30,1.0,0,0,1,1,0
217,50,55,27.0,8,10.0,777.0,14,1.0,0,1,0,0,1
218,61,10,20.0,8,27.0,836.0,18,1.0,0,0,0,0,1
219,65,44,4.0,10,28.0,890.0,15,1.0,1,0,1,0,1
220,35,21,26.0,7,13.0,570.0,17,1.0,1,0,0,1,0
221,33,43,12.0,10,13.0,204.0,9,1.0,0,0,1,0,0
222,27,40,6.0,6,2.0,595.0,10,1.0,0,0,0,0,0
223,38,47,11.0,3,5.0,788.0,4,1.0,0,0,0,1,0
224,65,33,13.0,2,23.0,142.0,27,1.0,1,0,1,0,0
225,47,37,1.0,5,8.0,798.0,19,1.0,0,1,0,0,1
226,20,7,7.0,2,16.0,867.0,24,0.0,1,0,0,0,1
227,60,14,13.0,1,21.0,904.0,6,1.0,1,0,1,0,1
228,44,2,27.0,7,12.0,936.0,3,1.0,1,1,0,0,1
229,25,19,6.0,9,1.0,759.0,4,1.0,1,0,1,0,1
230,46,43,7.0,10,27.0,134.0,1,1.0,0,0,0,0,0
231,31,46,13.0,3,20.0,211.0,7,1.0,1,0,0,0,0
232,34,21,13.0,1,27.0,910.0,21,1.0,0,1,0,0,1
233,60,44,25.0,7,23.0,944.0,30,1.0,0,0,0,0,1
234,33,40,26.0,3,22.0,293.0,30,1.0,0,0,1,0,0
235,54,19,26.0,2,3.0,656.0,20,1.0,0,1,0,0,1
236,33,1,1.0,7,18.0,411.0,16,1.0,0,0,0,1,0
237,45,53,6.0,2,13.0,841.0,21,1.0,0,0,0,0,1
238,44,18,14.0,4,2.0,249.0,9,1.0,0,0,0,0,1
239,43,29,16.0,6,20.0,493.0,23,1.0,1,0,0,0,1
240,44,34,26.0,4,12.0,353.0,16,1.0,0,1,0,0,0
241,22,24,12.0,0,30.0,857.0,7,1.0,1,0,1,0,0
242,46,19,7.0,5,4.0,771.0,21,1.0,0,0,0,1,0
243,34,20,29.0,0,4.0,580.0,4,0.0,0,0,0,0,0
244,41,56,2.0,4,24.0,353.0,16,1.0,1,1,0,0,1
245,54,33,19.0,1,19.0,802.0,6,1.0,0,0,0,0,1
246,44,50,19.0,5,28.0,618.0,24,1.0,0,0,1,1,0
247,21,58,4.0,10,16.0,985.0,10,1.0,1,0,0,1,0
248,55,17,5.0,3,19.0,957.0,8,1.0,1,1,0,1,0
249,50,37,18.0,0,23.0,148.0,25,1.0,1,0,0,0,0
250,29,56,12.0,9,25.0,144.0,19,1.0,0,1,0,1,0
251,22,18,25.0,6,28.0,494.0,27,1.0,0,1,0,1,0
252,49,18,20.0,0,4.0,642.0,5,0.0,1,1,0,0,1
253,51,51,16.0,5,11.0,213.0,27,1.0,0,0,1,0,0
254,21,46,13.0,0,23.0,823.0,18,1.0,1,0,0,1,0
255,20,30,15.0,8,6.0,582.0,29,1.0,1,0,1,1,0
256,58,51,23.0,0,2.0,782.0,21,1.0,0,0,1,1,0
257,53,1,4.0,7,24.0,598.0,4,1.0,0,1,0,0,0
258,21,17,29.0,7,28.0,990.0,28,1.0,1,0,1,1,0
259,62,25,20.0,10,23.0,784.0,23,1.0,0,0,0,0,0
260,44,3,19.0,0,12.0,268.0,1,1.0,1,0,1,0,0
261,27,18,16.0,6,4.0,575.0,11,1.0,1,0,1,0,0
262,64,60,26.0,3,9.0,783.0,30,1.0,1,0,0,0,1
263,60,34,13.0,5,7.0,504.0,24,1.0,1,0,1,1,0
264,21,20,1.0,1,7.0,326.0,8,1.0,1,1,0,0,1
265,53,30,23.0,3,30.0,588.0,22,1.0,0,0,1,1,0
266,36,52,2.0,3,13.0,486.0,25,1.0,0,0,0,0,1
267,62,22,24.0,9,23.0,922.0,4,1.0,0,1,0,1,0
268,22,35,5.0,2,11.0,892.0,30,1.0,0,0,0,0,1
269,65,16,7.0,5,20.0,165.0,15,1.0,0,0,0,0,0
270,58,29,5.0,5,26.0,262.0,2,1.0,0,0,1,0,1
271,54,56,7.0,7,4.0,206.0,20,1.0,1,0,1,0,0
272,32,9,12.0,4,30.0,936.0,23,1.0,0,1,0,0,1
273,49,14,16.0,9,24.0,285.0,23,1.0,1,0,0,1,0
274,64,25,20.0,0,23.0,141.0,12,1.0,1,0,1,0,0
275,47,56,27.0,5,5.0,803.0,21,1.0,0,0,1,1,0
276,35,57,11.0,4,21.0,532.0,12,1.0,1,0,1,0,0
277,63,44,15.0,0,3.0,752.0,26,1.0,1,1,0,0,1
278,48,36,20.0,1,11.0,674.0,25,1.0,0,0,1,1,0
279,54,3,17.0,4,27.0,401.0,21,1.0,1,0,1,0,0
280,18,7,27.0,8,2.0,146.0,29,1.0,1,1,0,1,0
281,46,9,26.0,0,28.0,569.0,27,1.0,1,0,1,0,1
282,52,33,28.0,7,11.0,726.0,27,1.0,1,0,0,0,1
283,31,50,10.0,7,11.0,404.0,26,1.0,0,1,0,1,0
284,18,26,7.0,9,11.0,795.0,26,1.0,0,0,1,0,1
285,46,48,18.0,1,29.0,817.0,5,1.0,0,0,0,1,0
286,28,12,6.0,8,9.0,297.0,27,1.0,1,1,0,0,1
287,29,38,20.0,5,26.0,563.0,13,1.0,0,0,1,1,0
288,61,27,19.0,2,11.0,225.0,8,1.0,1,0,1,0,0
289,35,46,16.0,1,10.0,411.0,12,1.0,0,0,1,1,0
290,19,48,4.0,10,3.0,684.0,3,1.0,0,0,0,1,0
291,42,8,9.0,6,3.0,704.0,26,1.0,0,1,0,0,0
292,59,57,2.0,2,14.0,183.0,10,1.0,0,1,0,0,1
293,20,29,12.0,9,3.0,908.0,28,1.0,0,1,0,1,0
294,62,51,1.0,1,21.0,417.0,15,1.0,0,1,0,0,0
295,20,40,1.0,4,16.0,490.0,18,1.0,1,1,0,0,1
296,60,55,27.0,1,30.0,730.0,11,1.0,1,1,0,0,0
297,19,54,10.0,9,12.0,604.0,8,1.0,1,0,1,0,1
298,52,13,21.0,2,2.0,379.0,17,1.0,0,1,0,0,0
299,65,59,1.0,8,9.0,916.0,22,1.0,0,0,0,0,0
300,64,53,30.0,9,28.0,361.0,21,1.0,0,0,0,0,1
301,21,45,27.0,4,17.0,547.0,29,1.0,0,0,1,0,0
302,55,30,20.0,0,2.0,395.0,25,1.0,1,0,1,0,0
303,63,30,26.0,0,24.0,683.0,3,1.0,0,0,1,1,0
304,63,3,8.0,1,20.0,798.0,4,1.0,1,0,0,0,1
305,58,36,6.0,6,18.0,519.0,18,1.0,0,0,1,0,1
306,50,16,18.0,2,30.0,350.0,5,1.0,1,1,0,0,0
307,29,8,8.0,3,14.0,748.0,21,1.0,1,1,0,0,0
308,34,35,27.0,6,2.0,261.0,15,1.0,0,0,0,0,0
309,32,47,1.0,1,22.0,938.0,21,1.0,0,0,1,1,0
310,28,18,6.0,5,15.0,193.0,26,1.0,0,1,0,0,0
311,46,44,14.0,8,23.0,428.0,23,1.0,1,0,1,0,0
312,57,14,13.0,8,25.0,314.0,24,1.0,1,0,1,0,0
313,59,34,19.0,8,6.0,309.0,23,1.0,1,0,0,1,0
314,22,43,14.0,2,0.0,629.0,5,1.0,0,0,1,1,0
315,29,59,5.0,5,12.0,209.0,12,1.0,1,0,1,0,0
316,57,29,27.0,2,1.0,279.0,24,1.0,1,1,0,1,0
317,35,3,13.0,10,19.0,554.0,15,1.0,0,0,0,0,0
318,64,13,3.0,5,30.0,967.0,30,1.0,0,1,0,0,0
319,55,51,28.0,8,23.0,866.0,1,1.0,1,1,0,0,1
320,60,7,6.0,9,24.0,758.0,23,1.0,0,0,1,0,0
321,62,44,17.0,4,11.0,258.0,23,1.0,0,0,1,1,0
322,54,9,11.0,1,9.0,479.0,18,1.0,0,0,0,1,0
323,45,10,23.0,10,19.0,730.0,28,1.0,0,0,1,0,1
324,41,23,6.0,3,20.0,327.0,23,1.0,1,1,0,1,0
325,28,2,14.0,4,4.0,384.0,20,1.0,1,1,0,0,0
326,47,59,12.0,6,4.0,557.0,10,1.0,0,0,0,0,0
327,41,33,12.0,10,16.0,921.0,6,1.0,0,0,1,1,0
328,31,43,4.0,4,2.0,873.0,14,1.0,0,0,1,1,0
329,37,13,6.0,7,11.0,206.0,17,1.0,1,0,0,0,1
330,23,30,12.0,10,5.0,941.0,11,1.0,0,0,1,1,0
331,39,11,9.0,9,15.0,751.0,13,1.0,1,0,1,0,1
332,42,48,9.0,0,1.0,428.0,24,1.0,1,0,1,1,0
333,56,47,3.0,6,23.0,883.0,15,1.0,1,1,0,0,1
334,49,22,19.0,7,4.0,205.0,5,1.0,1,0,0,0,1
335,28,2,6.0,1,20.0,520.0,16,0.0,1,1,0,0,0
336,55,14,1.0,8,1.0,216.0,27,1.0,1,1,0,1,0
337,44,42,4.0,3,3.0,861.0,24,0.0,1,0,0,0,0
338,21,52,5.0,7,29.0,708.0,16,1.0,0,0,0,1,0
339,45,31,14.0,3,28.0,806.0,1,1.0,0,1,0,0,0
340,65,36,5.0,4,29.0,352.0,28,1.0,1,0,0,0,0
341,48,37,7.0,1,24.0,872.0,25,1.0,1,1,0,1,0
342,21,31,16.0,0,12.0,102.0,3,1.0,1,1,0,1,0
343,43,40,19.0,10,27.0,694.0,7,1.0,1,0,0,0,0
344,60,50,11.0,1,7.0,937.0,14,1.0,0,0,1,0,0
345,52,14,18.0,2,29.0,786.0,30,1.0,0,0,0,0,0
346,63,8,17.0,6,20.0,948.0,15,1.0,1,1,0,1,0
347,19,10,16.0,5,8.0,403.0,27,1.0,1,0,1,1,0
348,60,31,27.0,3,11.0,566.0,16,1.0,0,0,0,0,0
349,26,29,8.0,2,3.0,692.0,17,1.0,0,0,1,0,1
350,23,43,11.0,6,19.0,433.0,4,1.0,1,0,0,0,0
351,51,34,30.0,8,22.0,978.0,11,1.0,0,0,1,1,0
352,29,60,3.0,7,27.0,540.0,17,1.0,0,0,0,1,0
353,39,14,10.0,1,30.0,459.0,22,1.0,1,1,0,0,1
354,21,5,23.0,7,23.0,645.0,18,1.0,1,1,0,1,0
355,32,45,19.0,4,23.0,783.0,24,1.0,1,0,1,0,1
356,24,49,3.0,7,23.0,723.0,15,1.0,1,1,0,0,0
357,65,52,27.0,4,30.0,923.0,7,1.0,0,0,0,0,1
358,36,38,2.0,2,22.0,871.0,8,1.0,1,1,0,1,0
359,35,1,21.0,4,9.0,113.0,18,1.0,1,0,1,0,1
360,18,56,9.0,5,23.0,265.0,24,1.0,1,0,0,1,0
361,31,34,24.0,7,16.0,886.0,14,1.0,0,0,1,0,0
362,62,12,7.0,4,24.0,921.0,14,1.0,0,1,0,0,1
363,43,34,24.0,1,18.0,191.0,27,1.0,0,1,0,0,1
364,27,11,13.0,3,13.0,264.0,4,1.0,0,0,1,1,0
365,57,34,18.0,8,8.0,609.0,8,1.0,0,0,0,0,1
366,56,5,12.0,4,5.0,249.0,10,1.0,1,0,0,1,0
367,20,2,6.0,7,5.0,786.0,13,1.0,1,1,0,1,0
368,39,31,24.0,2,20.0,914.0,24,1.0,0,0,0,0,1
369,46,51,9.0,8,11.0,358.0,2,1.0,0,0,1,0,1
370,52,27,15.0,6,15.0,427.0,15,1.0,0,0,1,0,0
371,22,22,1.0,8,17.0,606.0,14,1.0,0,0,1,0,0
372,24,20,8.0,8,24.0,984.0,25,1.0,1,1,0,0,0
373,62,55,3.0,6,16.0,531.0,28,1.0,1,1,0,0,0
374,39,52,11.0,0,20.0,361.0,13,1.0,0,0,1,1,0
375,32,24,26.0,6,24.0,411.0,17,1.0,1,0,1,1,0
376,49,21,20.0,9,6.0,277.0,24,1.0,0,0,1,0,1
377,22,3,27.0,3,5.0,968.0,14,1.0,0,1,0,0,0
378,38,15,14.0,2,29.0,847.0,30,1.0,1,1,0,1,0
379,41,50,22.0,6,11.0,839.0,26,1.0,0,1,0,1,0
380,45,51,8.0,6,12.0,451.0,20,1.0,0,0,0,0,1
381,51,4,20.0,9,0.0,901.0,4,1.0,1,0,1,1,0
382,58,21,25.0,3,0.0,435.0,6,1.0,0,0,0,1,0
383,43,18,6.0,2,2.0,195.0,10,1.0,1,0,1,0,0
384,23,51,5.0,9,22.0,311.0,14,1.0,0,1,0,0,0
385,24,8,23.0,8,18.0,142.0,9,1.0,1,0,1,0,0
386,21,2,7.0,6,22.0,125.0,24,1.0,0,0,0,0,1
387,42,19,22.0,1,23.0,247.0,4,1.0,0,0,1,0,1
388,39,19,16.0,6,19.0,896.0,7,1.0,0,0,1,0,1
389,35,58,16.0,10,29.0,845.0,5,1.0,1,0,0,0,0
390,23,34,3.0,4,8.0,392.0,25,1.0,1,0,0,0,1
391,35,40,18.0,2,14.0,363.0,10,1.0,0,1,0,0,1
